PuzzleName,Solver,Solved,HintCount,HintVariance,DifficultyScore,Run1(ms),Run2(ms),Run3(ms),Run4(ms),Run5(ms),BestTime(ms),WorstTime(ms),AverageTime(ms),NumberOfGuesses,PropagationDepth,PeakMemory(bytes),OriginalPuzzle,Solution,InitStartTime(ms),InitEndTime(ms),InitTime(μs),InitMemCost(bytes)
Puzzle_10,ConstraintPropagation,Yes,132,1.55,21.51,5,4,12,4,3,3,12,5,0,123,1327368,212156413011011051400009106021400000350080100001610014641303000708561613210012121301041400000150000020830012000410140400001031415810112501000157112130610900001211000816020051511508301440510000060000160008150001303160045191500060714107601590041412101300110011013861225000140900140000096111650120905000000130036015,21215641331101175148916139116610214158412113575871011121516193146413231141479856161321151012121381041497251115166131115213835612101694171464971216113314158101125141016515711213461129381014121136138167249515115783214410519131612116156916111278151410213431621345191511312687141076101595164141213132811431111386122510157141698131421157396111651012491651214210114138736115,14061008525600,14061008604600,79,1
Puzzle_10,DPLLSAT,Yes,132,1.55,21.51,2032,1979,1950,1931,1923,1923,2032,1963,0,4096,477064368,212156413011011051400009106021400000350080100001610014641303000708561613210012121301041400000150000020830012000410140400001031415810112501000157112130610900001211000816020051511508301440510000060000160008150001303160045191500060714107601590041412101300110011013861225000140900140000096111650120905000000130036015,21215641331101175148916139116610214158412113575871011121516193146413231141479856161321151012121381041497251115166131115213835612101694171464971216113314158101125141016515711213461129381014121136138167249515115783214410519131612116156916111278151410213431621345191511312687141076101595164141213132811431111386122510157141698131421157396111651012491651214210114138736115,14061036959500,14061037030900,71,1
Puzzle_10,DLX,Yes,132,1.55,21.51,3,4,3,3,3,3,4,3,124,124,1331768,212156413011011051400009106021400000350080100001610014641303000708561613210012121301041400000150000020830012000410140400001031415810112501000157112130610900001211000816020051511508301440510000060000160008150001303160045191500060714107601590041412101300110011013861225000140900140000096111650120905000000130036015,21215641331101175148916139116610214158412113575871011121516193146413231141479856161321151012121381041497251115166131115213835612101694171464971216113314158101125141016515711213461129381014121136138167249515115783214410519131612116156916111278151410213431621345191511312687141076101595164141213132811431111386122510157141698131421157396111651012491651214210114138736115,14070852346600,14070852428600,82,1
Puzzle_11,Backtracking,Yes,135,1.62,21.51,3,4,3,3,3,3,4,3,510,120,1335056,01581400012091637001000141100000200900012900141305715028600011132150010064012165141160700150051301180000120110140000025615100110802000930001382603401610127100960003400110716121901100015010031300147160161300121172001004070150916140008051000120107003001300110101062140047030916100013401200061102155000031501105100841300,21581415612139163741110561411716108142121391531012916414133571511286137111321589101641412165141163769154251310118124971213110143811151625615105111681221461937134138265341116101271151496214103458111571612191311412515216931310814716816139101211725141634157315191614131248651021112510789316151341411612111621413154712359161081613481210716119215531491431561125116108413127,14070869247600,14070869294400,46,1
Puzzle_11,ConstraintPropagation,Yes,135,1.62,21.51,7,5,5,7,4,4,7,5,4,120,1338000,01581400012091637001000141100000200900012900141305715028600011132150010064012165141160700150051301180000120110140000025615100110802000930001382603401610127100960003400110716121901100015010031300147160161300121172001004070150916140008051000120107003001300110101062140047030916100013401200061102155000031501105100841300,21581415612139163741110561411716108142121391531012916414133571511286137111321589101641412165141163769154251310118124971213110143811151625615105111681221461937134138265341116101271151496214103458111571612191311412515216931310814716816139101211725141634157315191614131248651021112510789316151341411612111621413154712359161081613481210716119215531491431561125116108413127,14070886776600,14070886858300,81,1
Puzzle_11,DPLLSAT,Yes,135,1.62,21.51,2015,1952,2059,1954,1979,1952,2059,1991,0,4096,466893840,01581400012091637001000141100000200900012900141305715028600011132150010064012165141160700150051301180000120110140000025615100110802000930001382603401610127100960003400110716121901100015010031300147160161300121172001004070150916140008051000120107003001300110101062140047030916100013401200061102155000031501105100841300,21581415612139163741110561411716108142121391531012916414133571511286137111321589101641412165141163769154251310118124971213110143811151625615105111681221461937134138265341116101271151496214103458111571612191311412515216931310814716816139101211725141634157315191614131248651021112510789316151341411612111621413154712359161081613481210716119215531491431561125116108413127,14070913891100,14070913955600,64,1
Puzzle_11,DLX,Yes,135,1.62,21.51,4,4,3,4,3,3,4,3,121,121,1343304,01581400012091637001000141100000200900012900141305715028600011132150010064012165141160700150051301180000120110140000025615100110802000930001382603401610127100960003400110716121901100015010031300147160161300121172001004070150916140008051000120107003001300110101062140047030916100013401200061102155000031501105100841300,21581415612139163741110561411716108142121391531012916414133571511286137111321589101641412165141163769154251310118124971213110143811151625615105111681221461937134138265341116101271151496214103458111571612191311412515216931310814716816139101211725141634157315191614131248651021112510789316151341411612111621413154712359161081613481210716119215531491431561125116108413127,14080873256300,14080873353800,97,1
Puzzle_12,Backtracking,Yes,130,1.98,24.10,4,3,3,4,3,3,4,3,250,125,1346600,120000000080001670028136051493000410116151014712110524100013090010016000120155110700408000051501461016435090006140200000910111508113407002100120140711030013000241600111012000014060102008340150121693130161510106140200071500129000100701300394000000000110500011120500157800060801300970401160301001016002041312300080,12351134109118156141672112813615514931671241011615101471211352416891349671821614131012315511137121143811610251591461016435139712156141121865149101115281134167312211581216146711934101355824167311191213106151416710214138341115512169313916151121061452811471514111296451016781312394315810113261411751216141112351612157810913648121361497154511623111071016511264131239114815,14080891153100,14080891257500,104,1
Puzzle_12,ConstraintPropagation,Yes,130,1.98,24.10,7,5,6,6,4,4,7,5,0,125,1349536,120000000080001670028136051493000410116151014712110524100013090010016000120155110700408000051501461016435090006140200000910111508113407002100120140711030013000241600111012000014060102008340150121693130161510106140200071500129000100701300394000000000110500011120500157800060801300970401160301001016002041312300080,12351134109118156141672112813615514931671241011615101471211352416891349671821614131012315511137121143811610251591461016435139712156141121865149101115281134167312211581216146711934101355824167311191213106151416710214138341115512169313916151121061452811471514111296451016781312394315810113261411751216141112351612157810913648121361497154511623111071016511264131239114815,14080908846300,14080908911400,65,1
Puzzle_12,DPLLSAT,Yes,130,1.98,24.10,1959,1940,1958,1943,1992,1940,1992,1958,0,4096,447956880,120000000080001670028136051493000410116151014712110524100013090010016000120155110700408000051501461016435090006140200000910111508113407002100120140711030013000241600111012000014060102008340150121693130161510106140200071500129000100701300394000000000110500011120500157800060801300970401160301001016002041312300080,12351134109118156141672112813615514931671241011615101471211352416891349671821614131012315511137121143811610251591461016435139712156141121865149101115281134167312211581216146711934101355824167311191213106151416710214138341115512169313916151121061452811471514111296451016781312394315810113261411751216141112351612157810913648121361497154511623111071016511264131239114815,14080935861200,14080935906400,45,1
Puzzle_12,DLX,Yes,130,1.98,24.10,4,4,4,4,3,3,4,3,126,126,1352000,120000000080001670028136051493000410116151014712110524100013090010016000120155110700408000051501461016435090006140200000910111508113407002100120140711030013000241600111012000014060102008340150121693130161510106140200071500129000100701300394000000000110500011120500157800060801300970401160301001016002041312300080,12351134109118156141672112813615514931671241011615101471211352416891349671821614131012315511137121143811610251591461016435139712156141121865149101115281134167312211581216146711934101355824167311191213106151416710214138341115512169313916151121061452811471514111296451016781312394315810113261411751216141112351612157810913648121361497154511623111071016511264131239114815,14090729118700,14090729227400,108,1
Puzzle_13,Backtracking,Yes,130,1.84,23.35,5,3,5,5,4,3,5,4,963,125,1355288,160065004930001311809731112861351416100201115209147000010031651050002150847012090000041697140101113065310010015084201200001481502000600030001601014001000006071310100120620000001003641100015051000605009000030167212000270000981015014000001300709010000138014900015011005050110726300112131400312015000100016138107,16141265101493152713118497311128613514161015211115289147136112104316511051316321511847612149281512641697143151113106531131110715168429121471110148155212913616413134916121314211105157869713101161512562141183481142364111613715951012156451013981121131416721231611271451049816151314214158131637591210611101387149121415611325165161197263810112131441531261545111014216138197,14090749051500,14090749125300,73,1
