PuzzleName,Solver,Solved,HintCount,HintVariance,DifficultyScore,Run1(ms),Run2(ms),Run3(ms),Run4(ms),Run5(ms),BestTime(ms),WorstTime(ms),AverageTime(ms),NumberOfGuesses,PropagationDepth,PeakMemory(bytes),OriginalPuzzle,Solution,InitStartTime(ms),InitEndTime(ms),InitTime(μs),InitMemCost(bytes)
Puzzle_22,ConstraintPropagation,Yes,23,0.94,29.11,8,7,7,7,7,7,8,7,28,57,1368984,000090001070063204300008000020000090060804000001000000507000009000000640008100005,486297531179563284352418967724651893965834712831729456547386129213975648698142375,13590197382800,13590197436400,53,1
Puzzle_22,DPLLSAT,Yes,23,0.94,29.11,317,292,230,180,183,180,317,240,1,729,197327392,000090001070063204300008000020000090060804000001000000507000009000000640008100005,486297531179563284352418967724651893965834712831729456547386129213975648698142375,13590234658600,13590234706900,48,1
Puzzle_22,DLX,Yes,23,0.94,29.11,3,4,3,2,4,2,4,3,74,58,1373976,000090001070063204300008000020000090060804000001000000507000009000000640008100005,486297531179563284352418967724651893965834712831729456547386129213975648698142375,13591437451800,13591437509400,57,1
Puzzle_23,Backtracking,Yes,20,0.90,29.85,149,143,146,144,149,143,149,146,262421,60,76889560,000000200080007090602000500070060000000901000000020040005000603090400070006000000,957613284483257196612849537178364952524971368369528741845792613291436875736185429,13591453056700,13591453085000,28,1
Puzzle_23,ConstraintPropagation,Yes,20,0.90,29.85,12,13,12,14,14,12,14,13,172,60,3473088,000000200080007090602000500070060000000901000000020040005000603090400070006000000,957613284483257196612849537178364952524971368369528741845792613291436875736185429,13592184001500,13592184078200,76,1
Puzzle_23,DPLLSAT,Yes,20,0.90,29.85,257,233,242,237,235,233,257,240,21,729,303889296,000000200080007090602000500070060000000901000000020040005000603090400070006000000,957613284483257196612849537178364952524971368369528741845792613291436875736185429,13592249408600,13592249448400,39,1
Puzzle_23,DLX,Yes,20,0.90,29.85,4,2,3,3,3,2,4,3,189,61,1381696,000000200080007090602000500070060000000901000000020040005000603090400070006000000,957613284483257196612849537178364952524971368369528741845792613291436875736185429,13593453291800,13593453352900,61,1
Puzzle_24,Backtracking,Yes,25,1.02,29.14,4,5,4,5,4,4,5,4,2191,55,1384184,000270100000008000803006409005001080004090002070000000000502700500069000430000500,956274138741938265823156479365421987184793652279685341698542713517369824432817596,13593468245600,13593468268600,23,1
Puzzle_24,ConstraintPropagation,Yes,25,1.02,29.14,4,3,4,5,3,3,5,3,5,55,1385136,000270100000008000803006409005001080004090002070000000000502700500069000430000500,956274138741938265823156479365421987184793652279685341698542713517369824432817596,13593490341400,13593490480300,138,1
Puzzle_24,DPLLSAT,Yes,25,1.02,29.14,175,172,193,186,183,172,193,181,0,729,178242264,000270100000008000803006409005001080004090002070000000000502700500069000430000500,956274138741938265823156479365421987184793652279685341698542713517369824432817596,13593509209400,13593509234500,25,1
Puzzle_24,DLX,Yes,25,1.02,29.14,3,4,3,2,3,2,4,3,56,56,1389712,000270100000008000803006409005001080004090002070000000000502700500069000430000500,956274138741938265823156479365421987184793652279685341698542713517369824432817596,13594418655300,13594418693900,38,1
Puzzle_25,Backtracking,Yes,23,1.16,31.34,2,4,2,4,4,2,4,3,435,57,1391312,000040957000010400007200080001050000002073008900000100000000000500002004300009006,123648957895317462647295381781956243452173698936824175278461539569732814314589726,13594434065100,13594434201900,136,1
Puzzle_25,ConstraintPropagation,Yes,23,1.16,31.34,3,3,3,4,3,3,4,3,5,57,1393448,000040957000010400007200080001050000002073008900000100000000000500002004300009006,123648957895317462647295381781956243452173698936824175278461539569732814314589726,13594450751500,13594450777100,25,1
